id,from_pages,from_issues,newspaper_id
tageblatt-1925-06-02-a-p0006,,True,tageblatt
tageblatt-1925-06-02-a-p0007,,True,tageblatt
tageblatt-1925-06-02-a-p0008,,True,tageblatt
tageblatt-1925-06-09-a-p0006,,True,tageblatt
tageblatt-1925-06-09-a-p0008,,True,tageblatt
tageblatt-1925-06-16-a-p0006,,True,tageblatt
tageblatt-1925-06-16-a-p0007,,True,tageblatt
tageblatt-1925-06-16-a-p0008,,True,tageblatt
tageblatt-1925-06-23-a-p0006,,True,tageblatt
tageblatt-1925-06-23-a-p0008,,True,tageblatt
tageblatt-1925-06-30-a-p0008,,True,tageblatt
tageblatt-1925-07-01-a-p0005,,True,tageblatt
tageblatt-1925-07-01-a-p0006,,True,tageblatt
tageblatt-1925-07-03-a-p0005,,True,tageblatt
tageblatt-1925-07-03-a-p0006,,True,tageblatt
tageblatt-1925-07-03-a-p0007,,True,tageblatt
tageblatt-1925-07-03-a-p0008,,True,tageblatt
tageblatt-1925-07-07-a-p0006,,True,tageblatt
tageblatt-1925-07-07-a-p0008,,True,tageblatt
tageblatt-1925-07-14-a-p0006,,True,tageblatt
tageblatt-1925-07-15-a-p0007,,True,tageblatt
tageblatt-1925-07-15-a-p0008,,True,tageblatt
tageblatt-1925-07-22-a-p0006,,True,tageblatt
tageblatt-1925-07-22-a-p0008,,True,tageblatt
tageblatt-1925-07-28-a-p0008,,True,tageblatt
tageblatt-1925-07-29-a-p0005,,True,tageblatt
tageblatt-1925-07-29-a-p0006,,True,tageblatt
tageblatt-1925-08-04-a-p0006,,True,tageblatt
tageblatt-1925-08-04-a-p0007,,True,tageblatt
tageblatt-1925-08-04-a-p0008,,True,tageblatt
tageblatt-1925-08-11-a-p0006,,True,tageblatt
tageblatt-1925-08-13-a-p0007,,True,tageblatt
tageblatt-1925-08-13-a-p0008,,True,tageblatt
tageblatt-1925-08-18-a-p0006,,True,tageblatt
tageblatt-1925-08-24-a-p0006,,True,tageblatt
tageblatt-1925-08-25-a-p0006,,True,tageblatt
tageblatt-1925-08-29-a-p0008,,True,tageblatt
tageblatt-1925-09-01-a-p0006,,True,tageblatt
tageblatt-1925-09-03-a-p0006,,True,tageblatt
tageblatt-1925-09-05-a-p0008,,True,tageblatt
tageblatt-1925-09-08-a-p0006,,True,tageblatt
tageblatt-1925-09-15-a-p0007,,True,tageblatt
tageblatt-1925-09-15-a-p0008,,True,tageblatt
tageblatt-1925-09-18-a-p0006,,True,tageblatt
tageblatt-1925-09-22-a-p0007,,True,tageblatt
tageblatt-1925-09-22-a-p0008,,True,tageblatt
tageblatt-1925-09-25-a-p0006,,True,tageblatt
tageblatt-1925-09-29-a-p0006,,True,tageblatt
tageblatt-1925-10-01-a-p0006,,True,tageblatt
tageblatt-1925-10-06-a-p0006,,True,tageblatt
